mission,mss_id,tm_id,roi_id
L4,LANDSAT/LT04/C02/T2/LT04_033028_19830103,LANDSAT/LM04/C02/T2/LM04_033028_19830103,ROI_0187
L4,LANDSAT/LT04/C02/T2/LT04_033028_19890714,LANDSAT/LM04/C02/T2/LM04_033028_19890714,ROI_0187
L4,LANDSAT/LT04/C02/T2/LT04_033028_19890831,LANDSAT/LM04/C02/T2/LM04_033028_19890831,ROI_0187
L4,LANDSAT/LT04/C02/T2/LT04_033029_19830103,LANDSAT/LM04/C02/T2/LM04_033029_19830103,ROI_0187
L4,LANDSAT/LT04/C02/T2/LT04_033029_19890714,LANDSAT/LM04/C02/T2/LM04_033029_19890714,ROI_0187
L4,LANDSAT/LT04/C02/T2/LT04_031027_19830206,LANDSAT/LM04/C02/T2/LM04_031027_19830206,ROI_0188
L4,LANDSAT/LT04/C02/T2/LT04_035026_19830202,LANDSAT/LM04/C02/T2/LM04_035026_19830202,ROI_0189
L4,LANDSAT/LT04/C02/T2/LT04_035027_19830101,LANDSAT/LM04/C02/T2/LM04_035027_19830101,ROI_0189
L4,LANDSAT/LT04/C02/T2/LT04_035027_19830202,LANDSAT/LM04/C02/T2/LM04_035027_19830202,ROI_0189
L4,LANDSAT/LT04/C02/T2/LT04_040025_19830205,LANDSAT/LM04/C02/T2/LM04_040025_19830205,ROI_0190
L4,LANDSAT/LT04/C02/T2/LT04_041024_19821124,LANDSAT/LM04/C02/T2/LM04_041024_19821124,ROI_0190
L4,LANDSAT/LT04/C02/T2/LT04_041024_19821210,LANDSAT/LM04/C02/T2/LM04_041024_19821210,ROI_0190
L4,LANDSAT/LT04/C02/T2/LT04_041025_19821210,LANDSAT/LM04/C02/T2/LM04_041025_19821210,ROI_0190
L4,LANDSAT/LT04/C02/T2/LT04_041025_19830127,LANDSAT/LM04/C02/T2/LM04_041025_19830127,ROI_0190
L4,LANDSAT/LT04/C02/T2/LT04_037025_19821214,LANDSAT/LM04/C02/T2/LM04_037025_19821214,ROI_0191
L4,LANDSAT/LT04/C02/T2/LT04_037025_19821230,LANDSAT/LM04/C02/T2/LM04_037025_19821230,ROI_0191
L4,LANDSAT/LT04/C02/T2/LT04_037025_19830131,LANDSAT/LM04/C02/T2/LM04_037025_19830131,ROI_0191
L4,LANDSAT/LT04/C02/T2/LT04_038025_19830106,LANDSAT/LM04/C02/T2/LM04_038025_19830106,ROI_0191
